Trim_ID,Make,Model,Year,Style,Trim,Body_style,Description,Rating,Origin,URL,Image,Price,Drivetrain,Engine,Engine_size_liters,Max_horsepower,Max_torque,Transmission_type,Transmission_gears,MPG_highway,MPG_combined,Fuel_capacity_gallons,Length_inches,Width_inches,Height_inches,Same_size_wheels,Seating_capacity,Curb_weight_pounds,Sentiment_overall,Sentiment_negative,Sentiment_neutral,Sentiment_positive,Dominant_color
419573,Acura,MDX,2022,Acura MDX,MDX SH-AWD,suv,"For 2022, Acura redesigned and modernized the three-row MDX with a luxurious cabin, better tech features, and the promise of a hot Type S trim.",8.0,domestic,https://www.caranddriver.com/acura/mdx/specs/2022/acura_mdx_acura-mdx_2022/419573,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/acura_mdx_acura-mdx_2022-1636133370049.jpg,50245.0,All Wheel Drive,Premium Unleaded V-6,3.5,290.0,267.0,Automatic,10.0,25.0,21.0,18.5,198.4,78.7,67.1,True,7,4503.0,0.6369,0.0,0.794,0.206,brown
423559,Acura,ILX,2022,Acura ILX,ILX Sedan,sedan,"If the thought of parking a Honda Civic in your driveway is just too lowbrow for you, consider its country club-raised cousin, the 2022 Acura ILX.",6.0,domestic,https://www.caranddriver.com/acura/ilx/specs/2022/acura_ilx_acura-ilx_2022/423559,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/acura_ilx_acura-ilx_2022-1636143076846.jpg,27545.0,Front Wheel Drive,Premium Unleaded I-4,2.4,201.0,180.0,Auto-Shift Manual,8.0,34.0,28.0,13.2,182.2,70.6,55.6,True,5,3095.0,-0.4404,0.108,0.892,0.0,lightgray
425066,Acura,NSX Type S,2022,Acura NSX,NSX Type S Coupe,coupe,"If the idea of a supercar that you can drive daily is intriguing, the 2022 Acura NSX Type S makes a great option and offers enough comfort and practicality for the task.",7.5,domestic,https://www.caranddriver.com/acura/nsx/specs/2022/acura_nsx_acura-nsx_2022/425066,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/acura_nsx_acura-nsx_2022-1636139617719.jpg,171495.0,All Wheel Drive,Twin Turbo Gas/Electric V-6,3.5,600.0,492.0,Auto-Shift Manual,9.0,22.0,21.0,15.6,178.5,76.3,47.8,False,2,3878.0,0.765,0.0,0.804,0.196,lightslategray
425739,Acura,RDX,2022,Acura RDX,RDX SH-AWD,suv,"The 2022 Acura RDX doesn't have the same cachet as its luxury-brand classmates, but it's stylish, fun-to-drive, generously equipped, and more affordable than many rival SUVs.",6.5,domestic,https://www.caranddriver.com/acura/rdx/specs/2022/acura_rdx_acura-rdx_2022/425739,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/acura_rdx_acura-rdx_2022-1638487373438.jpg,42545.0,All Wheel Drive,Intercooled Turbo Premium Unleaded I-4,2.0,272.0,280.0,Automatic,10.0,27.0,23.0,17.1,187.4,74.8,65.7,True,5,4025.0,0.5719,0.0,0.871,0.129,mediumblue
424967,Acura,TLX,2022,Acura TLX,TLX FWD,sedan,"The stylish Acura TLX sedan puts sportiness before luxuriousness, and its communicative driving traits and strong value versus some luxe rivals make it an attractive proposition.",8.0,domestic,https://www.caranddriver.com/acura/tlx/specs/2022/acura_tlx_acura-tlx_2022/424967,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2021-acura-tlx-type-s-110-1626445418.jpg,38745.0,Front Wheel Drive,Intercooled Turbo Premium Unleaded I-4,2.0,272.0,280.0,Automatic,10.0,31.0,25.0,15.9,194.6,75.2,56.4,True,5,3709.0,0.8225,0.0,0.728,0.272,darkslategray
409741,Acura,RLX,2020,Acura RLX,RLX Sedan w/Technology Pkg,sedan,"With innumerable standard features and an NSX-derived hybrid system, the RLX is a really nice car as long as its luxury shortcomings are accepted.",5.0,foreign,https://www.caranddriver.com/acura/rlx/specs/2020/acura_rlx_acura-rlx_2020/409741,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/acura_rlx_acura-rlx_2020-1636142236748.jpg,55925.0,Front Wheel Drive,Premium Unleaded V-6,3.5,310.0,272.0,Automatic,10.0,29.0,23.0,18.5,198.1,74.4,57.7,True,5,3977.0,0.6361,0.0,0.802,0.198,darkgray
363873,Acura,TL,2014,Acura TL,TL 2WD Automatic,sedan,"Acura's Ohio-built mid-size sedan may not be beautiful, but it does bring a lot of luxury and technology for the money.",7.0,domestic,https://www.caranddriver.com/acura/tl/specs/2014/acura_tl_acura-tl_2014/363873,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/media/assets/submodel/5859.jpg,36950.0,Front Wheel Drive,Premium Unleaded V-6,3.5,280.0,254.0,Automatic,6.0,29.0,23.0,18.5,194.0,74.0,57.2,True,5,3726.0,-0.267,0.098,0.902,0.0,darkgray
364152,Acura,TSX,2014,Acura TSX,TSX Automatic,sedan,"With the small ILX sedan introduced for 2013, Acura's TSX is no longer the baby of the family.",8.0,domestic,https://www.caranddriver.com/acura/tsx/specs/2014/acura_tsx_acura-tsx_2014/364152,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/media/assets/submodel/5861.jpg,31555.0,Front Wheel Drive,Premium Unleaded I-4,2.4,201.0,170.0,Automatic,5.0,31.0,26.0,18.5,185.6,72.4,56.7,True,5,3479.0,-0.296,0.115,0.885,0.0,crimson
356136,Acura,ZDX,2013,Acura ZDX,ZDX AWD,station wagon,"The 2013 model year represents the swan song year for Acura's brazenly styled ZDX luxury crossover, which shares its dirty parts with the taller, seven-seat MDX.",5.0,domestic,https://www.caranddriver.com/acura/zdx/specs/2013/acura_zdx_acura-zdx_2013/356136,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/media/assets/submodel/5342.jpg,51815.0,All Wheel Drive,Gas V6,3.7,300.0,270.0,Automatic,6.0,23.0,19.0,21.0,192.4,78.5,62.8,True,5,4424.0,-0.1779,0.1,0.825,0.076,darkslategray
338730,Acura,RL,2012,Acura RL,RL Automatic,sedan,"The RL sits atop Acura's sedan lineup and is smooth, quiet, and posh, with many high-tech features.",5.0,domestic,https://www.caranddriver.com/acura/rl/specs/2012/acura_rl_acura-rl_2012/338730,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/media/assets/submodel/4663.jpg,49095.0,All Wheel Drive,Gas V6,3.7,300.0,271.0,Automatic,6.0,24.0,20.0,19.4,195.8,72.7,57.2,True,5,4099.0,0.0,0.0,1.0,0.0,black
422156,Alfa Romeo,Giulia,2022,Alfa Romeo Giulia,Giulia RWD,sedan,"The 2022 Alfa Romeo Giulia appeals to driving enthusiasts with its fun-to-drive personality, sonorous engine, and drop-dead gorgeous styling.",8.0,foreign,https://www.caranddriver.com/alfa-romeo/giulia/specs/2022/alfa-romeo_giulia_alfa-romeo-giulia_2022/422156,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/alfa-romeo_giulia_alfa-romeo-giulia_2022-1636383937988.jpg,44445.0,Rear Wheel Drive,Intercooled Turbo Premium Unleaded I-4,2.0,280.0,306.0,Automatic,8.0,33.0,27.0,15.3,182.5,73.7,56.5,True,5,3521.0,0.7506,0.0,0.726,0.274,gainsboro
